@id,@lon,@lat,name,fuel:diesel,operator,brand,tenant,opening_hours,payment:cash,payment:mastercard,payment:visa,payment:diners_club,payment:maestro,fuel:octane_95,fuel:octane_98,fuel:lpg,building=yes,building:roof,covered=yes,rating,numRating
2250439669,21.4018514,42.0328615,Макпетрол,,,,,,,,,,,,,,,,,,
2250439683,21.7340269,42.1233045,Макпетрол,,,,,,,,,,,,,,,,,,
2250439690,21.7192894,42.1397978,Макпетрол,,,,,,,,,,,,,,,,,,
2250757104,22.1409234,41.7733628,Макпетрол,,,,,,,,,,,,,,,,,,
2250757106,22.1396252,41.7734988,Макпетрол,,,,,,,,,,,,,,,,,,
2250757108,21.773306,41.7187095,Макпетрол,,,,,,,,,,,,,,,,,,
2250757121,21.9513344,41.8601232,Макпетрол,,,,,,,,,,,,,,,,,,
2250757125,22.1646448,42.078774,Макпетрол,,,,,,,,,,,,,,,,,,
2250757126,22.1907803,41.9807431,Макпетрол,,,,,,,,,,,,,,,,,,
2257745867,20.9881251,42.0035143,Макпетрол,,,,,,,,,,,,,,,,,,
2257745870,20.9803998,42.0192838,Макпетрол,,,,,24/7,,,,,,,,,,,,,
2257911370,20.9464643,41.4965592,Макпетрол,,,,,,,,,,,,,,,,,,
2257911379,22.4454812,41.3387805,Макпетрол,,,,,,,,,,,,,,,,,,
2257911389,22.456218,41.6279865,Makpetrol,,,,,,,,,,,,,,,,,,
2257911396,22.8731701,41.760693,Макпетрол,,,,,,,,,,,,,,,,,,
2257911398,20.9145782,41.8035327,Макпетрол,,,,,,,,,,,,,,,,,,
2257911413,22.4558264,41.6283053,Lukoil,,,,,,,,,,,,,,,,,,
2257911439,22.2470513,41.4105326,Макпетрол,,,,,,,,,,,,,,,,,,
2257915174,22.6523331,41.4226153,Макпетрол,,,,,,,,,,,,,,,,,,
2257922874,20.5189355,41.5143142,Макпетрол,,,,,,,,,,,,,,,,,,
2258079334,22.5149236,41.1488035,Шимов,,,,,,,,,,,,,,,,,,
2258079386,22.51016,41.1475916,Макпетрол,,,,,,,,,,,,,,,,,,
2258079490,22.5956686,41.2104726,Макпетрол,,,,,,,,,,,,,,,,,,
2258079693,22.5454566,41.1364881,Окта,,,,,,,,,,,,,,,,,,
2258080087,22.5129603,41.1512473,Макпетрол,,,,,,,,,,,,,,,,,,
2258180465,21.5702815,41.9689531,Макпетрол,,,,,,,,,,,,,,,,,,
2258180474,21.605853,41.942927,Макпетрол,,,,,,,,,,,,,,,,,,
2258180483,21.5499665,41.99577,Макпетрол,,,,,,,,,,,,,,,,,,
2258180490,22.0999424,41.4992409,Макпетрол,,,,,,,,,,,,,,,,,,
2258249904,20.8124001,41.1237594,Макпетрол,,,,,,,,,,,,,,,,,,
2258249917,20.7609787,41.7042752,Макпетрол,,,,,Mo-Su 07:00-20:00,,,,,,,,,,,,,
2258249982,20.911055,41.9150372,Макпетрол,,,,,,,,,,,,,,,,,,
2258250033,20.8152625,41.1062856,Макпетрол,,,,,,,,,,,,,,,,,,
2258250077,20.607058,41.6311497,Макпетрол,,,,,,,,,,,,,,,,,,
2258250129,21.2046442,41.2153422,Макпетрол,,,,,,,,,,,,,,,,,,
2258250136,20.8210883,41.1373657,Макпетрол,,,,,,,,,,,,,,,,,,
2258250161,21.1177299,42.0736357,Макпетрол,,,,,,,,,,,,,,,,,,
2258349842,22.5857701,42.0214393,Макпетрол,,,,,,,,,,,,,,,,,,
2258349862,22.166616,41.6917389,Макпетрол,,,,,,,,,,,,,,,,,,
2258350075,22.4078109,41.5414346,Макпетрол,,,,,,,,,,,,,,,,,,
2258350129,21.7673004,41.7204345,Окта,,,,,,,,,,,,,,,,,,
2258371662,22.660062,41.4404192,ЕкоОил,yes,,,,,,,,,,yes,yes,,,,,,
2258371681,22.6484534,41.4410707,Окта,,,,,,,,,,,,,,,,,,
2260079289,20.8136195,41.1259146,Окта,,,,,,,,,,,,,,,,,,
2260122818,20.9829535,41.9972088,Окта,,,,,,,,,,,,,,,,,,
2260122820,20.9147691,41.80187,Окта,,,,,,,,,,,,,,,,,,
2260122822,20.7983612,41.3054677,Окта,,,,,,,,,,,,,,,,,,
